genre,pub_year,genre,pub_year,mean_score,count
,2000,rock,2017,8.15,2
,2001,,1999,7.24,15
,2001,,2000,6.575862068965517,29
,2001,,2001,6.778431372549019,51
,2001,,2002,6.767532467532462,154
,2001,,2003,6.908196721311474,122
,2001,,2004,7.305645161290324,124
,2001,,2005,7.222900763358777,131
,2001,,2006,6.993181818181817,132
,2001,,2007,7.048993288590604,149
,2001,,2008,6.974045801526716,131
,2001,,2009,6.946601941747573,103
,2001,,2010,7.093859649122808,114
,2001,,2011,7.204040404040402,99
,2001,,2012,6.940990990990988,222
,2001,,2013,6.935668789808921,314
,2001,,2014,7.072980501392765,359
,2001,,2015,7.213953488372093,43
,2001,,2016,7.150704225352112,71
,2001,,2017,7.0,2
,2001,electronic,1999,6.841818181818183,55
,2001,electronic,2000,7.239655172413792,58
,2001,electronic,2001,6.898611111111112,72
,2001,electronic,2002,7.037323943661971,142
,2001,electronic,2003,6.852486187845304,181
,2001,electronic,2004,7.052866242038216,157
,2001,electronic,2005,7.033333333333334,177
,2001,electronic,2006,6.914024390243903,164
,2001,electronic,2007,6.858273381294962,139
,2001,electronic,2008,6.824999999999998,148
,2001,electronic,2009,6.638333333333336,180
,2001,electronic,2010,6.876651982378855,227
,2001,electronic,2011,6.900000000000006,237
,2001,electronic,2012,6.98051282051282,195
,2001,electronic,2013,7.0466666666666695,180
,2001,electronic,2014,6.989610389610392,154
,2001,electronic,2015,7.152500000000003,200
,2001,electronic,2016,7.115652173913044,230
,2001,electronic,2017,8.0,4
,2001,experimental,1999,6.638888888888889,18
,2001,experimental,2000,6.230769230769231,13
,2001,experimental,2001,7.6466666666666665,30
,2001,experimental,2002,7.376,50
,2001,experimental,2003,7.474285714285715,70
,2001,experimental,2004,7.620253164556962,79
,2001,experimental,2005,7.146478873239437,71
,2001,experimental,2006,7.205194805194805,77
,2001,experimental,2007,7.204054054054055,74
,2001,experimental,2008,7.284057971014492,69
,2001,experimental,2009,7.080882352941177,68
,2001,experimental,2010,7.333802816901407,71
,2001,experimental,2011,7.297101449275365,69
,2001,experimental,2012,7.365624999999999,64
,2001,experimental,2013,7.2078125,64
,2001,experimental,2014,7.401515151515151,66
,2001,experimental,2015,7.5074999999999985,80
,2001,experimental,2016,7.484761904761904,105
,2001,experimental,2017,7.7,3
,2001,folk/country,1999,7.766666666666666,6
,2001,folk/country,2000,7.75,4
,2001,folk/country,2001,7.561538461538461,13
,2001,folk/country,2002,7.007692307692308,26
,2001,folk/country,2003,7.245454545454546,33
,2001,folk/country,2004,7.342857142857145,42
,2001,folk/country,2005,7.227499999999999,40
,2001,folk/country,2006,7.412000000000001,50
,2001,folk/country,2007,7.053225806451613,62
,2001,folk/country,2008,6.908333333333331,48
,2001,folk/country,2009,7.022222222222221,45
,2001,folk/country,2010,7.058139534883721,43
,2001,folk/country,2011,7.202702702702703,37
,2001,folk/country,2012,7.590476190476191,21
,2001,folk/country,2013,7.020833333333335,24
,2001,folk/country,2014,7.625,28
,2001,folk/country,2015,7.330952380952381,42
,2001,folk/country,2016,7.436734693877553,49
,2001,global,1999,9.0,1
